thread_title,username,domain,crawl_type,author_signature,join_date,lastactive,totalposts,FetchTime,groups,reputation,credits,awards,rank,activetime,contactinfo,reference_url
Is there an XP virtual machine available for older devices compatibility?,BernardM,www.bleepingcomputer.com,keepup,,1425148200000,1425632940000,4,1541654790000,Members, , , , ,"[ { ""year"": ""2015"",""month"": ""3"", ""dayofweek"": ""6"", ""hour"": ""6"", ""count"": ""4"" }]", ,https://www.bleepingcomputer.com/forums/u/942820/bernardm/
how to retrive the data from a correpted pendrive,ravi kumar,www.bleepingcomputer.com,keepup,,1378233000000,1379152320000,5,1541654791000,Members, , , , ,"[ { ""year"": ""2013"",""month"": ""9"", ""dayofweek"": ""3"", ""hour"": ""1"", ""count"": ""5"" }]", ,https://www.bleepingcomputer.com/forums/u/850160/ravi-kumar/
turning GB size photo into KB sized photo,theplywoodviolin,www.bleepingcomputer.com,keepup,,1280428200000,1283172780000,3,1541654791000,Members, , , , ,"[ { ""year"": ""2010"",""month"": ""8"", ""dayofweek"": ""6"", ""hour"": ""20"", ""count"": ""3"" }]", ,https://www.bleepingcomputer.com/forums/u/542604/theplywoodviolin/
"Advanced Monitoring Agent, data was overdue.",docdoom,www.bleepingcomputer.com,keepup,,1363890600000,1378459440000,2,1541654792000,Members, , , , ,"[ { ""year"": ""2013"",""month"": ""9"", ""dayofweek"": ""3"", ""hour"": ""3"", ""count"": ""2"" }]", ,https://www.bleepingcomputer.com/forums/u/827351/docdoom/
Open Items with a Single Click,Sirawit,www.bleepingcomputer.com,keepup,"

If I don't reply back to you in 2 days, feel free to send me a PM.
 
“You’re lying… just like you were lying to me before. You have to hate me. I’ve been the worst daughter in the world… you should hate me.”
“But I don’t, Nyx. Because, Nyx, I’m your mother, and a mother will always love her daughter, no matter what.” -Past sins by Pen stroke.
",1370889000000,1541559240000,4162,1541654792000,Malware Response Team, , , , ,"[ { ""year"": ""2013"",""month"": ""7"", ""dayofweek"": ""0"", ""hour"": ""4"", ""count"": ""4162"" }][ { ""year"": ""2013"",""month"": ""7"", ""dayofweek"": ""1"", ""hour"": ""0"", ""count"": ""4162"" }]", ,https://www.bleepingcomputer.com/forums/u/837565/sirawit/
"How do I get Kindle Fire HD 7 video to show up on TV?, Disabling auto updates, transfer cables",Animal,www.bleepingcomputer.com,keepup,"

The Internet is so big, so powerful and pointless that for some people it is a complete substitute for life.Andrew Brown (1938-1994)A learning experience is one of those things that say, ""You know that thing you just did? Don't do that."" Douglas Adams (1952-2001)""Imagination is more important than knowledge. Knowledge is limited. Imagination circles the world."" Albert Einstein (1879-1955) Follow BleepingComputer on: Facebook | Twitter | Google+
",1124389800000,0,35894,1541654794000,Site Admin, , , , ,"[ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""0"", ""hour"": ""4"", ""count"": ""35894"" }][ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""0"", ""hour"": ""23"", ""count"": ""35894"" }][ { ""year"": ""2013"",""month"": ""11"", ""dayofweek"": ""1"", ""hour"": ""20"", ""count"": ""35894"" }][ { ""year"": ""2014"",""month"": ""4"", ""dayofweek"": ""4"", ""hour"": ""2"", ""count"": ""35894"" }][ { ""year"": ""2014"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""23"", ""count"": ""35894"" }][ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""4"", ""hour"": ""7"", ""count"": ""35894"" }][ { ""year"": ""2016"",""month"": ""9"", ""dayofweek"": ""2"", ""hour"": ""6"", ""count"": ""35894"" }][ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""2"", ""hour"": ""1"", ""count"": ""35894"" }]", ,https://www.bleepingcomputer.com/forums/u/31547/animal/
xfinity bridge mode to sonicwall firewall help,toofarnorth,www.bleepingcomputer.com,keepup,,1337797800000,1541526660000,393,1541654794000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""9"", ""dayofweek"": ""6"", ""hour"": ""0"", ""count"": ""393"" }]", ,https://www.bleepingcomputer.com/forums/u/780516/toofarnorth/
"persistent warnings from HitmanPro.Alert, can\'t get rid of them",stadlerf,www.bleepingcomputer.com,keepup,,1521743400000,1524861420000,6,1541654794000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""4"", ""hour"": ""1"", ""count"": ""6"" }][ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""4"", ""hour"": ""5"", ""count"": ""6"" }][ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""0"", ""hour"": ""20"", ""count"": ""6"" }][ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""5"", ""hour"": ""0"", ""count"": ""6"" }][ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""4"", ""hour"": ""22"", ""count"": ""6"" }]", ,https://www.bleepingcomputer.com/forums/u/1089450/stadlerf/
"persistent warnings from HitmanPro.Alert, can\'t get rid of them",SlabBacon,www.bleepingcomputer.com,keepup,,1521657000000,1522257600000,2,1541654795000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""3"", ""hour"": ""21"", ""count"": ""2"" }][ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""5"", ""hour"": ""22"", ""count"": ""2"" }]", ,https://www.bleepingcomputer.com/forums/u/1089369/slabbacon/
"persistent warnings from HitmanPro.Alert, can\'t get rid of them",ItsMeAgain66,www.bleepingcomputer.com,keepup,,1381948200000,1522257480000,10,1541654795000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""4"", ""hour"": ""1"", ""count"": ""10"" }][ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""4"", ""hour"": ""2"", ""count"": ""10"" }][ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""5"", ""hour"": ""6"", ""count"": ""10"" }]", ,https://www.bleepingcomputer.com/forums/u/856771/itsmeagain66/
svchost.exe *32 high CPU usage (Access Denied to Services),mde00435,www.bleepingcomputer.com,keepup,,1523471400000,1524001080000,7,1541654796000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""2"", ""hour"": ""19"", ""count"": ""7"" }]", ,https://www.bleepingcomputer.com/forums/u/1091415/mde00435/
svchost.exe *32 high CPU usage (Access Denied to Services),joseibarra,www.bleepingcomputer.com,keepup,"

The mediocre teacher tells. The good teacher explains. The superior teacher demonstrates.
",1243535400000,1541627520000,1280,1541654797000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""3"", ""hour"": ""3"", ""count"": ""1280"" }]", ,https://www.bleepingcomputer.com/forums/u/336615/joseibarra/
svchost.exe *32 high CPU usage (Access Denied to Services),buddy215,www.bleepingcomputer.com,keepup,"

“Every atom in your body came from a star that exploded and the atoms in your left hand probably came from a different star than your right hand. It really is the most poetic thing I know about physics...you are all stardust.”― Lawrence M. Krauss
A 1792 U.S. penny, designed in part by Thomas Jefferson and George Washington, reads “Liberty Parent of Science & Industry.” 
",1145039400000,1541641380000,13371,1541654797000,Moderator, , , , ,"[ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""2"", ""hour"": ""22"", ""count"": ""13371"" }]", ,https://www.bleepingcomputer.com/forums/u/64042/buddy215/
Slowness of Computers,ranjeetsah426,www.bleepingcomputer.com,keepup,,1372012200000,1375779960000,8,1541654798000,Members, , , , ,"[ { ""year"": ""2013"",""month"": ""6"", ""dayofweek"": ""6"", ""hour"": ""21"", ""count"": ""8"" }]", ,https://www.bleepingcomputer.com/forums/u/839310/ranjeetsah426/
"persistent warnings from HitmanPro.Alert, can\'t get rid of them",JSntgRvr,www.bleepingcomputer.com,keepup,"

No request for help throughout private messaging will be attended.
If I have helped you, consider making a donation to help me continue the fight against Malware!btn_donate_SM.gif
",1141497000000,1541648100000,11798,1541654798000,Malware Response Team, , , , ,"[ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""5"", ""hour"": ""1"", ""count"": ""11798"" }][ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""5"", ""hour"": ""2"", ""count"": ""11798"" }][ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""5"", ""hour"": ""1"", ""count"": ""11798"" }][ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""6"", ""hour"": ""1"", ""count"": ""11798"" }]", ,https://www.bleepingcomputer.com/forums/u/57930/jsntgrvr/
Slowness of Computers,JenMorg13,www.bleepingcomputer.com,keepup,,1377541800000,1378590240000,32,1541654799000,Members, , , , ,"[ { ""year"": ""2013"",""month"": ""8"", ""dayofweek"": ""1"", ""hour"": ""5"", ""count"": ""32"" }]", ,https://www.bleepingcomputer.com/forums/u/848732/jenmorg13/
Get CyberGhost now advertisement,randomasiandude,www.bleepingcomputer.com,keepup,,1522348200000,1522409280000,1,1541654799000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""3"", ""hour"": ""23"", ""count"": ""1"" }]", ,https://www.bleepingcomputer.com/forums/u/1090185/randomasiandude/
Get CyberGhost now advertisement,KnightDavid,www.bleepingcomputer.com,keepup,,1523903400000,1524070500000,1,1541654800000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""1"", ""count"": ""1"" }]", ,https://www.bleepingcomputer.com/forums/u/1091974/knightdavid/
Open Items with a Single Click,Darktune,www.bleepingcomputer.com,keepup,"

It's very hard to imagine all the crazy things that things really are like. 
Electrons act like waves.. no they don't exactly, they act like particles.. no they don't exactly.
Words and ideas can change the world.
",1364495400000,1504739760000,1139,1541654800000,Members, , , , ,"[ { ""year"": ""2013"",""month"": ""7"", ""dayofweek"": ""2"", ""hour"": ""22"", ""count"": ""1139"" }][ { ""year"": ""2013"",""month"": ""7"", ""dayofweek"": ""3"", ""hour"": ""6"", ""count"": ""1139"" }]", ,https://www.bleepingcomputer.com/forums/u/828195/darktune/
Slowness of Computers,Blade,www.bleepingcomputer.com,keepup,"

http://www.geekstogo.com/downloads/unite_phpbb.png

If I am helping you, it has been 48 hours since your last post, and I have yet to reply to your topic, please send me a PM
Become a BleepingComputer fan: Facebook
Follow us on Twitter!
Circle us on Google+
",1232389800000,1541636220000,12715,1541654801000,Site Admin, , , , ,"[ { ""year"": ""2012"",""month"": ""3"", ""dayofweek"": ""1"", ""hour"": ""23"", ""count"": ""12715"" }]", ,https://www.bleepingcomputer.com/forums/u/285001/blade/
Encryption Keys,Didier Stevens,www.bleepingcomputer.com,keepup,"

Didier Stevenshttp://blog.DidierStevens.comhttp://DidierStevensLabs.com
SANS ISC Senior Handler
Microsoft MVP 2011-2016 Consumer Security, Windows Insider MVP 2016-2019http://didierstevens.com/files/pics/MVP_Horizontal_BlueOnly.png
 
If you send me messages, per Bleeping Computer's Forum policy, I will not engage in a conversation, but try to answer your question in the relevant forum post. If you don't want this, don't send me messages.
 
Stevens' law: ""As an online security discussion grows longer, the probability of a reference to BadUSB approaches 1.0""
",1286821800000,1541632860000,2734,1541654803000,BC Advisor, , , , ,"[ { ""year"": ""2012"",""month"": ""3"", ""dayofweek"": ""0"", ""hour"": ""21"", ""count"": ""2734"" }][ { ""year"": ""2012"",""month"": ""3"", ""dayofweek"": ""1"", ""hour"": ""20"", ""count"": ""2734"" }][ { ""year"": ""2012"",""month"": ""3"", ""dayofweek"": ""1"", ""hour"": ""21"", ""count"": ""2734"" }]", ,https://www.bleepingcomputer.com/forums/u/587211/didier-stevens/
Encryption Keys,bigdog1100,www.bleepingcomputer.com,keepup,"

Motherboard: ASUS P8Z68-V LX0x3B Processor: Intel i5 2500k0x3B RAM 24GB: CORSAIR XMS3 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800)0x3B CORSAIR Vengeance 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800)0x3B Video Card: MSI AMD Radeon RX 470 Gaming X 4G GDDR50x3B Storage: HDD 2TB Seagate ST2000DM001-9YN1640x3B SSD 500GB Samsung 860 EVO 500GB0x3BPower Supply:  OCZ ZS Series 650W 80PLUS Bronze High Performance Power Supply0x3B Multi-card reader: Nippon Labs Delux 3.5"" Internal All In One Card Reader/Writer with USB2.0 & eSATA Ports Model ICR-BB. Optical 1: LG GH22NS900x3B Optical 2:  ASUS BW-12B1ST0x3B Fans: 3x80mm, CPU Cooling: XIGMATEK LOKI SD963. So there are total of 6 fans. 
 
",1265135400000,1539785580000,308,1541654803000,Members, , , , ,"[ { ""year"": ""2012"",""month"": ""3"", ""dayofweek"": ""1"", ""hour"": ""7"", ""count"": ""308"" }][ { ""year"": ""2012"",""month"": ""3"", ""dayofweek"": ""1"", ""hour"": ""1"", ""count"": ""308"" }][ { ""year"": ""2012"",""month"": ""3"", ""dayofweek"": ""4"", ""hour"": ""3"", ""count"": ""308"" }]", ,https://www.bleepingcomputer.com/forums/u/447488/bigdog1100/
Slowness of Computers,kisk,www.bleepingcomputer.com,keepup,"


",1263061800000,1367715360000,339,1541654804000,Members, , , , ,"[ { ""year"": ""2012"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""7"", ""count"": ""339"" }]", ,https://www.bleepingcomputer.com/forums/u/432070/kisk/
PortableApps.com?,cafejose,www.bleepingcomputer.com,keepup,,1281810600000,1541651760000,1109,1541654805000,Members, , , , ,"[ { ""year"": ""2017"",""month"": ""10"", ""dayofweek"": ""1"", ""hour"": ""6"", ""count"": ""1109"" }]", ,https://www.bleepingcomputer.com/forums/u/552116/cafejose/
Slowness of Computers,Wafx,www.bleepingcomputer.com,keepup,,1332873000000,1332933300000,1,1541654805000,Members, , , , ,"[ { ""year"": ""2012"",""month"": ""3"", ""dayofweek"": ""1"", ""hour"": ""22"", ""count"": ""1"" }]", ,https://www.bleepingcomputer.com/forums/u/771372/wafx/
Avast Service Crashed Unexpectedly,KrypticSneaker,www.bleepingcomputer.com,keepup,,1523903400000,1524160560000,1,1541654805000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""4"", ""count"": ""1"" }]", ,https://www.bleepingcomputer.com/forums/u/1091996/krypticsneaker/
keyscrambler by QFK Software,TheForgottenGod,www.bleepingcomputer.com,keepup,,1332700200000,1342905900000,39,1541654806000,Members, , , , ,"[ { ""year"": ""2012"",""month"": ""3"", ""dayofweek"": ""2"", ""hour"": ""3"", ""count"": ""39"" }]", ,https://www.bleepingcomputer.com/forums/u/770953/theforgottengod/
Putting a Desktop Icon on the Quick Launch/Taskbar,Zestypanda,www.bleepingcomputer.com,keepup,"

Have a question, or just wanna chat? Send me a message. Or add me as a friend.
 
",1309285800000,1500077160000,603,1541654806000,Members, , , , ,"[ { ""year"": ""2013"",""month"": ""7"", ""dayofweek"": ""3"", ""hour"": ""23"", ""count"": ""603"" }]", ,https://www.bleepingcomputer.com/forums/u/702056/zestypanda/
A virus took over my browser and is stopping System Restore from working,ECCO0K,www.bleepingcomputer.com,keepup,,1523817000000,1524616320000,9,1541654807000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""0"", ""hour"": ""1"", ""count"": ""9"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""0"", ""hour"": ""23"", ""count"": ""9"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""5"", ""count"": ""9"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""4"", ""count"": ""9"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""4"", ""count"": ""9"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""4"", ""count"": ""9"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""4"", ""count"": ""9"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""3"", ""count"": ""9"" }]", ,https://www.bleepingcomputer.com/forums/u/1091793/ecco0k/
A virus took over my browser and is stopping System Restore from working,boopme,www.bleepingcomputer.com,keepup,"

How do I get help? Who is helping me?For the time will come when men will not put up with sound doctrine. Instead, to suit their own desires, they will gather around them a great number of teachers to say what their itching ears want to hear....Become a BleepingComputer fan: Facebook
",1094841000000,1541607960000,73519,1541654807000,Global Moderator, , , , ,"[ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""0"", ""hour"": ""4"", ""count"": ""73519"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""3"", ""count"": ""73519"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""4"", ""count"": ""73519"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""4"", ""count"": ""73519"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""5"", ""count"": ""73519"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""5"", ""count"": ""73519"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""4"", ""count"": ""73519"" }][ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""4"", ""count"": ""73519"" }]", ,https://www.bleepingcomputer.com/forums/u/2608/boopme/
post cards,SpywareDoctor,www.bleepingcomputer.com,keepup,,1389292200000,1403961120000,256,1541654809000,Members, , , , ,"[ { ""year"": ""2014"",""month"": ""2"", ""dayofweek"": ""6"", ""hour"": ""5"", ""count"": ""256"" }]", ,https://www.bleepingcomputer.com/forums/u/872381/spywaredoctor/
post cards,x64,www.bleepingcomputer.com,keepup,,1370543400000,1541226900000,352,1541654810000,Members, , , , ,"[ { ""year"": ""2014"",""month"": ""5"", ""dayofweek"": ""1"", ""hour"": ""22"", ""count"": ""352"" }]", ,https://www.bleepingcomputer.com/forums/u/836884/x64/
Disabling auto updates,helpmepc111,www.bleepingcomputer.com,keepup,,1396895400000,1397650140000,15,1541654810000,Members, , , , ,"[ { ""year"": ""2014"",""month"": ""4"", ""dayofweek"": ""0"", ""hour"": ""22"", ""count"": ""15"" }]", ,https://www.bleepingcomputer.com/forums/u/887122/helpmepc111/
"KVN software - Multiplicity, Synchronicity, etc",JudMc,www.bleepingcomputer.com,keepup,,1391797800000,1540658160000,75,1541654811000,Members, , , , ,"[ { ""year"": ""2017"",""month"": ""11"", ""dayofweek"": ""4"", ""hour"": ""5"", ""count"": ""75"" }]", ,https://www.bleepingcomputer.com/forums/u/876860/judmc/
transfer cables,Romeo29,www.bleepingcomputer.com,keepup,"

ZoneAlarm Free Antivirus+ Firewall | Bitdefender Safebox | avast! free antivirus | ESET Online Scanner
",1215369000000,1444248360000,3194,1541654812000,Members, , , , ,"[ { ""year"": ""2014"",""month"": ""4"", ""dayofweek"": ""4"", ""hour"": ""4"", ""count"": ""3194"" }][ { ""year"": ""2014"",""month"": ""4"", ""dayofweek"": ""3"", ""hour"": ""20"", ""count"": ""3194"" }][ { ""year"": ""2014"",""month"": ""4"", ""dayofweek"": ""1"", ""hour"": ""5"", ""count"": ""3194"" }][ { ""year"": ""2014"",""month"": ""4"", ""dayofweek"": ""0"", ""hour"": ""3"", ""count"": ""3194"" }][ { ""year"": ""2014"",""month"": ""4"", ""dayofweek"": ""6"", ""hour"": ""4"", ""count"": ""3194"" }]", ,https://www.bleepingcomputer.com/forums/u/220807/romeo29/
Some Tips And Tricks Appreciated.,Scoop8,www.bleepingcomputer.com,keepup,,1385231400000,0,326,1541654813000,Members, , , , ,"[ { ""year"": ""2014"",""month"": ""3"", ""dayofweek"": ""0"", ""hour"": ""1"", ""count"": ""326"" }]", ,https://www.bleepingcomputer.com/forums/u/862809/scoop8/
"Open Items with a Single Click, Putting a Desktop Icon on the Quick Launch/Taskbar, post cards",TsVk!,www.bleepingcomputer.com,keepup,,1367951400000,1541472660000,6238,1541654813000,Members, , , , ,"[ { ""year"": ""2014"",""month"": ""2"", ""dayofweek"": ""2"", ""hour"": ""4"", ""count"": ""6238"" }][ { ""year"": ""2014"",""month"": ""5"", ""dayofweek"": ""1"", ""hour"": ""22"", ""count"": ""6238"" }][ { ""year"": ""2013"",""month"": ""7"", ""dayofweek"": ""3"", ""hour"": ""0"", ""count"": ""6238"" }][ { ""year"": ""2014"",""month"": ""5"", ""dayofweek"": ""2"", ""hour"": ""0"", ""count"": ""6238"" }][ { ""year"": ""2014"",""month"": ""5"", ""dayofweek"": ""2"", ""hour"": ""0"", ""count"": ""6238"" }][ { ""year"": ""2013"",""month"": ""7"", ""dayofweek"": ""3"", ""hour"": ""21"", ""count"": ""6238"" }][ { ""year"": ""2013"",""month"": ""7"", ""dayofweek"": ""3"", ""hour"": ""22"", ""count"": ""6238"" }]", ,https://www.bleepingcomputer.com/forums/u/832774/tsvk/
